nom_de_la_commune,code_postal,ligne_5
LOGNY LES AUBENTON,2500,
LA HOUSSAYE,27410,
COURDEMANCHE,27320,
LES SEPTVALLONS,2160,GLENNES
ILLIERS L EVEQUE,27770,
CRESTOT,27110,
LES SEPTVALLONS,2160,LONGUEVAL BARBONVAL
IRREVILLE,27930,
CROISY SUR EURE,27120,
LES SEPTVALLONS,2160,PERLES
LETTEGUIVES,27910,
MESNILS SUR ITON,27240,BUIS SUR DAMVILLE
MARCHAIS,2350,
LISORS,27440,
MESNILS SUR ITON,27240,CRETON
DHUYS ET MORIN EN BRIE,2540,FONTENELLE EN BRIE
LIVET SUR AUTHOU,27800,
MESNILS SUR ITON,27240,GRANDVILLIERS
MARCY SOUS MARLE,2250,
LORLEAU,27480,
MESNILS SUR ITON,27240,LE SACQ
MARFONTAINE,2140,
MALLEVILLE SUR LE BEC,27800,
MESNILS SUR ITON,27240,LES MINIERES
MARGIVAL,2880,
MARCILLY LA CAMPAGNE,27320,
MESNILS SUR ITON,27240,MANTHELON
MERCIN ET VAUX,2200,
MARCILLY SUR EURE,27810,
DAUBEUF LA CAMPAGNE,27110,
MESBRECOURT RICHECOURT,2270,
MARTAGNY,27150,
DROISY,27320,PANLATTE
MESNIL ST LAURENT,2720,
MENNEVAL,27300,
ECARDENVILLE LA CAMPAGNE,27170,
MEURIVAL,2160,
MERCEY,27950,
VEXIN SUR EPTE,27510,FONTENAY EN VEXIN
MISSY AUX BOIS,2200,
MOISVILLE,27320,
VEXIN SUR EPTE,27630,FOURS EN VEXIN
MISSY SUR AISNE,2880,
TERRES DE BORD,27400,MONTAURE
ETREPAGNY,27150,
MONAMPTEUIL,2000,
MORAINVILLE JOUVEAUX,27260,
EZY SUR EURE,27530,
MONTCHALONS,2860,
MOUETTES,27220,
FAUVILLE,27930,
MONTHENAULT,2860,
NOARDS,27560,
FEUGUEROLLES,27110,
MONTIGNY L ALLIER,2810,
NONANCOURT,27320,
FONTAINE BELLENGER,27600,
MONTIGNY LENGRAIN,2290,
NOTRE DAME D EPINE,27800,
FRESNEY,27220,
